ID_Metrica;ID_Acquisizione;Stimolo;Categoria;Latenza_ms;Durata_Fissazione_ms;Diametro_Pupillare_Medio_mm;Ampiezza_deg;Velocita_Picco_deg_s;Guadagno_Pursuit;Error_Rate_Perc;;;
1;1001;1.jpg;Saccade;440;28,8;-;15,6;1161,7;;30;;;
2;1001;1.jpg;Saccade;478;42,4;-;18,1;1156,9;;35;;;
3;1001;1.jpg;Saccade;429;22,4;-;10,2;968,7;;36;;;
4;1001;1.jpg;Saccade;386;52;-;19,6;1348,3;;37;;;
5;1001;1.jpg;Saccade;477;22,4;-;9,3;777,1;;40;;;
6;1001;1.jpg;Saccade;407;28,8;-;21,8;2131,8;;29;;;
7;1001;1.jpg;Saccade;425;92;-;50,7;1483,9;;42;;;
8;1001;1.jpg;Saccade;383;51,2;-;5,2;293,5;;26;;;
9;1001;1.jpg;Saccade;412;58,4;-;8,2;378,7;;34;;;
10;1001;1.jpg;Saccade;404;25,6;-;6,3;627,6;;40;;;
11;1001;1.jpg;Fissazione;405;352;-;-;-;;;;;
12;1001;1.jpg;Saccade;385;28;-;9;675,6;;37;;;
13;1001;1.jpg;Fissazione;433;128;-;-;-;;;;;
14;1001;1.jpg;Saccade;484;28;-;11,6;884,4;;42;;;
15;1001;1.jpg;Fissazione;440;120,8;-;-;-;;;;;
16;1001;1.jpg;Saccade;388;36,8;-;15,2;699,5;;42;;;
17;1001;1.jpg;Fissazione;445;257,6;-;-;-;;;;;
18;1001;1.jpg;Saccade;459;44,8;-;33,3;1772,5;;45;;;
19;1001;1.jpg;Saccade;392;23,2;-;9,5;976,9;;43;;;
20;1001;1.jpg;Fissazione;500;294,4;-;-;-;;;;;
21;1001;1.jpg;Saccade;432;29,6;-;12,2;951,2;;31;;;
22;1001;1.jpg;Fissazione;458;128;-;-;-;;;;;
23;1001;1.jpg;Saccade;393;50,4;-;20,7;1398,1;;27;;;
24;1001;1.jpg;Saccade;386;39,2;-;23;1652,6;;26;;;
25;1001;1.jpg;Saccade;500;25,6;-;12,4;705,1;;28;;;
26;1001;1.jpg;Saccade;495;24;-;10,9;1075,9;;44;;;
27;1001;1.jpg;Saccade;415;38,4;-;22,4;1287,3;;37;;;
28;1001;1.jpg;Saccade;432;22,4;-;3,9;267,1;;27;;;
29;1001;1.jpg;Saccade;428;24,8;-;14,7;1053;;27;;;
30;1001;1.jpg;Saccade;493;31,2;-;11,8;1263,2;;26;;;
31;1001;1.jpg;Saccade;483;32,8;-;14,3;1019,5;;45;;;
32;1001;1.jpg;Saccade;397;45,6;-;11,7;623,4;;35;;;
33;1001;1.jpg;Saccade;460;25,6;-;8,3;601,6;;30;;;
34;1001;1.jpg;Fissazione;407;658,4;-;-;-;;;;;
35;1001;1.jpg;Saccade;455;26,4;-;17,7;1300,4;;36;;;
36;1001;1.jpg;Saccade;492;75,2;-;70,9;2061,7;;42;;;
37;1001;1.jpg;Saccade;449;32;-;10,6;1054;;28;;;
38;1001;1.jpg;Saccade;414;25,6;-;9,9;723,3;;31;;;
39;1001;1.jpg;Saccade;458;28;-;9,9;806,9;;41;;;
40;1001;1.jpg;Saccade;478;32;-;1,5;89;;43;;;
41;1001;1.jpg;Saccade;461;22,4;-;6,6;569,1;;28;;;
42;1001;1.jpg;Saccade;458;43,2;-;7,3;404,4;;40;;;
43;1001;1.jpg;Fissazione;493;1036;-;-;-;;;;;
44;1001;1.jpg;Saccade;500;28,8;-;8,1;517,1;;44;;;
45;1001;1.jpg;Saccade;431;27,2;-;10,6;755,5;;31;;;
46;1001;1.jpg;Saccade;488;35,2;-;15,5;935;;43;;;
47;1001;1.jpg;Saccade;415;22,4;-;7,7;692,6;;26;;;
48;1001;1.jpg;Saccade;487;27,2;-;7,1;650,4;;32;;;
49;1001;1.jpg;Fissazione;422;340;-;-;-;;;;;
50;1001;1.jpg;Saccade;498;70,4;-;25,2;977,4;;35;;;
51;1001;1.jpg;Saccade;493;36;-;32,4;2009,2;;34;;;
52;1001;1.jpg;Saccade;481;26,4;-;11,5;1098,9;;27;;;
53;1001;1.jpg;Saccade;393;25,6;-;6,8;495,1;;41;;;
54;1001;1.jpg;Saccade;433;44;-;19,1;1329,9;;25;;;
55;1001;1.jpg;Saccade;484;29,6;-;1,6;91,3;;26;;;
56;1001;1.jpg;Saccade;452;87,2;-;55,5;1952,3;;42;;;
57;1001;1.jpg;Saccade;391;24;-;3,7;346,5;;40;;;
58;1001;1.jpg;Saccade;406;48,8;-;32,6;1876,7;;38;;;
59;1001;1.jpg;Saccade;418;25,6;-;20,4;2027,7;;41;;;
60;1001;1.jpg;Saccade;398;32,8;-;13,3;1072,5;;34;;;
61;1001;1.jpg;Saccade;499;25,6;-;9,4;575,7;;37;;;
62;1001;1.jpg;Saccade;489;32,8;-;9;642,7;;42;;;
63;1001;1.jpg;Saccade;486;24;-;8,4;573,9;;32;;;
64;1001;1.jpg;Saccade;460;41,6;-;15,7;878,6;;26;;;
65;1001;1.jpg;Saccade;438;27,2;-;20;1688,6;;37;;;
66;1001;1.jpg;Saccade;461;24,8;-;16,3;1662,5;;29;;;
67;1001;1.jpg;Fissazione;408;264,8;-;-;-;;;;;
68;1001;1.jpg;Fissazione;427;63,2;-;-;-;;;;;
